rel_path,name,ext,size_bytes,mtime,category,doctype,lang_hint
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/تقرير 28/28- Weekly Status Report 28 - 6 JUNE  2024.docx,28- Weekly Status Report 28 - 6 JUNE  2024.docx,.docx,153464,2026-05-04T06:47:18,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/تقرير 28/28- Weekly Status Report 28 - 6 JUNE  2024.pdf,28- Weekly Status Report 28 - 6 JUNE  2024.pdf,.pdf,358277,2026-05-04T06:47:18,report_out,pdf,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/تقرير 28/~$- Weekly Status Report 29 May-8 JULE  2024.docx,~$- Weekly Status Report 29 May-8 JULE  2024.docx,.docx,162,2026-05-04T06:47:18,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/تقرير 29/29- Weekly Status Report 7- 11 JUNE  2024.docx,29- Weekly Status Report 7- 11 JUNE  2024.docx,.docx,153653,2026-05-04T06:47:18,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/تقرير 29/29- Weekly Status Report 7- 11 JUNE  2024.pdf,29- Weekly Status Report 7- 11 JUNE  2024.pdf,.pdf,362378,2026-05-04T06:47:18,report_out,pdf,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/تقرير 29/~$- Weekly Status Report 29 May-8 JULE  2024.docx,~$- Weekly Status Report 29 May-8 JULE  2024.docx,.docx,162,2026-05-04T06:47:18,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/تقرير 30/29- Weekly Status Report 13 - 19 July  2024.docx,29- Weekly Status Report 13 - 19 July  2024.docx,.docx,154445,2026-05-04T06:47:18,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/تقرير 31/31- Weekly Status Report 27 July - 02  Aug  2024.docx,31- Weekly Status Report 27 July - 02  Aug  2024.docx,.docx,154330,2026-05-04T06:47:18,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/تقرير 31/31- Weekly Status Report 27 July - 02  Aug  2024.pdf,31- Weekly Status Report 27 July - 02  Aug  2024.pdf,.pdf,365529,2026-05-04T06:47:18,report_out,pdf,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/تقرير 32/32- Weekly Status Report 20-25  July  2024.docx,32- Weekly Status Report 20-25  July  2024.docx,.docx,154388,2026-05-04T06:47:18,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/نسب الانجاز.xlsx,نسب الانجاز.xlsx,.xlsx,19063,2026-05-04T06:47:16,report_out,xlsx,ar
09_REPORTS_OUT/تقارير الاستشاري/~$رير مقاول البوابات.docx,~$رير مقاول البوابات.docx,.docx,162,2026-05-04T06:47:15,report_out,docx,ar
09_REPORTS_OUT/تقارير الاستشاري/التقارير اليومية/01-2025/01-01-2025.xlsx,01-01-2025.xlsx,.xlsx,1798114,2026-05-04T06:47:18,report_out,xlsx,en
09_REPORTS_OUT/تقارير الاستشاري/التقارير اليومية/01-2025/02-01-2025.xlsx,02-01-2025.xlsx,.xlsx,1881775,2026-05-04T06:47:18,report_out,xlsx,en
09_REPORTS_OUT/تقارير الاستشاري/التقارير اليومية/01-2025/04-01-2025.xlsx,04-01-2025.xlsx,.xlsx,1753585,2026-05-04T06:47:18,report_out,xlsx,en
09_REPORTS_OUT/تقارير الاستشاري/التقارير اليومية/01-2025/05-01-2025.xlsx,05-01-2025.xlsx,.xlsx,1889651,2026-05-04T06:47:18,report_out,xlsx,en
